"","Minute","Team","Margin"
"700",28,"DET",-8
"701",29,"DET",8
"702",30,"DET",-14
"703",31,"DET",-11
"704",32,"DET",-5
"705",33,"DET",11
"706",34,"DET",-5
"707",35,"DET",-24
"708",36,"DET",-7
"709",37,"DET",44
"710",38,"DET",7
"711",39,"DET",21
"712",40,"DET",-31
"713",41,"DET",20
"714",42,"DET",45
"715",43,"DET",9
"716",44,"DET",-6
"717",45,"DET",-31
"718",46,"DET",-2
"719",47,"DET",4
"720",48,"DET",15
"721",1,"BKN",-28
"722",2,"BKN",44
"723",3,"BKN",37
"724",4,"BKN",29
"725",5,"BKN",-50
"726",6,"BKN",-19
"727",7,"BKN",-46
"728",8,"BKN",28
"729",9,"BKN",0
"730",10,"BKN",-10
"731",11,"BKN",-1
"732",12,"BKN",23
"733",13,"BKN",6
"734",14,"BKN",0
"735",15,"BKN",3
"736",16,"BKN",-11
"737",17,"BKN",0
"738",18,"BKN",24
"739",19,"BKN",-12
"740",20,"BKN",-4
"741",21,"BKN",-10
"742",22,"BKN",13
"743",23,"BKN",-22
"744",24,"BKN",-15
"745",25,"BKN",15
"746",26,"BKN",-16
"747",27,"BKN",-2
"748",28,"BKN",-33
"749",29,"BKN",-42
"750",30,"BKN",-1
"751",31,"BKN",1
"752",32,"BKN",29
"753",33,"BKN",-16
"754",34,"BKN",9
"755",35,"BKN",38
"756",36,"BKN",12
"757",37,"BKN",23
"758",38,"BKN",-19
"759",39,"BKN",41
"760",40,"BKN",26
"761",41,"BKN",-38
"762",42,"BKN",7
"763",43,"BKN",-12
"764",44,"BKN",7
"765",45,"BKN",-35
"766",46,"BKN",-25
"767",47,"BKN",20
"768",48,"BKN",-10
"769",1,"ORL",27
"770",2,"ORL",19
"771",3,"ORL",-18
"772",4,"ORL",16
"773",5,"ORL",-16
"774",6,"ORL",-1
"775",7,"ORL",45
"776",8,"ORL",-10
"777",9,"ORL",31
"778",10,"ORL",14
"779",11,"ORL",1
"780",12,"ORL",1
"781",13,"ORL",15
"782",14,"ORL",21
"783",15,"ORL",-15
"784",16,"ORL",-29
"785",17,"ORL",-33
"786",18,"ORL",8
"787",19,"ORL",-36
"788",20,"ORL",-2
"789",21,"ORL",36
"790",22,"ORL",-31
"791",23,"ORL",45
"792",24,"ORL",-27
"793",25,"ORL",27
"794",26,"ORL",26
"795",27,"ORL",-15
"796",28,"ORL",-51
"797",29,"ORL",24
"798",30,"ORL",8
"799",31,"ORL",17
"800",32,"ORL",4
"801",33,"ORL",18
"802",34,"ORL",-15
"803",35,"ORL",12
"804",36,"ORL",-48
